Number of header lines; NASA Ames sub-format code,44,3010
Name of data creator,None
Institute of data creator,Data held at British Atmospheric Data Centre (BADC), Rutherford Appleton Laboratory, UK.
Instrument or model name,None
Project name,None
File number; Total number of files,1,1
Starting date of data (YYYY MM DD); File creation date (YYYY MM DD),999 999 999,2021 3 22
Interval between coordinate variable values (zero if not used),0.5,0.5,0
Length of coordinate variables,8,6
Number of coordinate variable values explicity defined in header,3,3
Values of coordinate variable,-91.750,-91.250,-90.750
Values of coordinate variable,16.250,16.750,17.250
Name of coordinate variable (with units) 1,longitude (degrees_east)
Name of coordinate variable (with units) 2,latitude (degrees_north)
Name of coordinate variable (with units) 3,time (days since 1900-1-1)
Number of primary variables defined,1
Scale factors for each primary variable,1
Missing values for each primary variable,-9999.999
Name of primary variable (with units) 1,near-surface temperature (degrees Celsius)
Number of auxiliary variables,0
Number of lines of special comments,12
Special comments line 1,==== Special Comments follow ====
Special comments line 2,=== Additional Variable Attributes defined in the source file ===
Special comments line 3,== Variable attributes from source (NetCDF) file follow ==
Special comments line 4,  Variable tmp: near-surface temperature (degrees Celsius)
Special comments line 5,    correlation_decay_distance = 1200.0
Special comments line 6,    name = variable_151
Special comments line 7,    _FillValue = -9999.999
Special comments line 8,    datatype = Float
Special comments line 9,    long_name = near-surface temperature
Special comments line 10,    units = degrees Celsius
Special comments line 11,== Variable attributes from source (NetCDF) file end ==
Special comments line 12,==== Special Comments end ====
Number of lines of normal comments,10
Normal comments line 1,Comment = Access to these data is available to any registered CEDA user.
Normal comments line 2,Title = CRU TS4.04
Normal comments line 3,Institution = Data held at British Atmospheric Data Centre, RAL, UK.
Normal comments line 4,Contact = support@ceda.ac.uk
Normal comments line 5,References = Information on the data is available at http://badc.nerc.ac.uk/data/cru/
Normal comments line 6,Calendar = gregorian
Normal comments line 7,Conventions = CF-1.4
Normal comments line 8,Id = none
Normal comments line 9,History = Thu 16 Apr 2020 02:46:38 BST : User ianharris : Program makegridsauto.for called by update.for [2020-11-3 16:7:33] /usr/local/cows_venv_py27/cows_venv/bin/cdscan --exclude stn -x cdmls/cru_ts_4.04_gridded.xml -t time /badc/cru/data/cru_ts/cru_ts_4.04/data/cld/cru_ts4.04.1901.2019.cld.dat.nc /badc/cru/data/cru_ts/cru_ts_4.04/data/dtr/cru_ts4.04.1901.2019.dtr.dat.nc /bad ...
Normal comments line 10,2021-22-37T10:37:36 - Data extracted by Web Processing Service process.
Data section,18642.0
Data section,17.3,21.6,22.9,23.3,22.1,20.9,22.5,24.1
Data section,20.0,20.9,22.5,23.0,21.9,20.6,19.8,22.8
Data section,21.5,22.2,22.8,22.7,21.9,21.8,21.9,22.8
Data section,23.2,22.8,22.5,22.4,21.7,21.9,22.6,23.1
Data section,23.2,22.9,22.5,22.2,21.5,21.4,22.3,22.9
Data section,23.3,23.1,22.5,22.1,21.5,21.5,22.2,22.7
Data section,18672.0
Data section,17.2,21.5,22.8,23.2,22.0,20.8,22.2,23.7
Data section,19.8,20.8,22.5,22.9,21.8,20.5,19.6,22.1
Data section,21.5,22.3,22.9,22.7,21.9,21.7,21.6,22.4
Data section,23.5,23.1,22.8,22.4,21.8,21.9,22.5,22.8
Data section,23.5,23.1,22.7,22.4,21.8,21.6,22.3,22.9
Data section,23.3,23.1,22.7,22.4,21.9,21.8,22.2,22.7
Data section,18701.0
Data section,19.2,23.3,24.7,25.0,23.9,22.7,24.1,25.8
Data section,21.9,22.8,24.5,24.9,23.7,22.5,21.7,24.1
Data section,23.8,24.4,25.0,24.9,23.9,23.4,23.4,24.2
Data section,25.7,25.3,25.1,24.8,24.0,23.9,24.2,24.6
Data section,25.7,25.4,25.1,24.8,24.2,23.8,24.2,24.4
Data section,25.2,25.4,25.2,25.0,24.5,24.2,24.3,24.5
Data section,18732.0
Data section,20.8,25.1,26.6,27.0,25.8,24.5,25.7,27.4
Data section,23.8,24.7,26.6,27.0,25.8,24.5,23.7,25.8
Data section,25.8,26.7,27.3,27.2,26.1,25.8,25.4,25.7
Data section,28.0,27.8,27.5,27.2,26.3,26.2,26.1,26.1
Data section,27.9,27.9,27.7,27.4,26.6,26.2,26.2,26.1
Data section,27.1,27.8,27.7,27.5,27.0,26.5,26.3,26.2
Data section,18762.0
Data section,21.2,25.4,27.0,27.5,26.4,25.3,26.5,27.7
Data section,24.2,25.3,27.2,27.7,26.6,25.5,24.7,26.5
Data section,26.5,27.4,28.0,27.8,26.9,26.5,26.2,26.5
Data section,28.7,28.4,28.1,27.7,27.0,26.8,26.9,26.8
Data section,28.7,28.5,28.2,27.8,27.2,26.7,26.8,26.8
Data section,27.9,28.5,28.2,27.9,27.4,27.0,26.9,26.8
Data section,18793.0
Data section,21.1,25.5,27.3,27.9,27.1,26.3,27.5,28.3
Data section,24.3,25.5,27.5,28.1,27.3,26.3,25.5,27.4
Data section,26.6,27.5,28.2,28.2,27.5,27.3,27.0,27.4
